0.385 400 Amphibians
0.434640522875817 306 Amphibians
0.424479166666667 384 Amphibians
0.420833333333333 720 Amphibians
0.416666666666667 720 Amphibians
0.353383458646617 400 Amphibians
0.3775 400 Amphibians
0.446875 320 Amphibians
0.413888888888889 720 Amphibians
0.416666666666667 720 Amphibians
0.434375 320 Amphibians
0.48125 640 Amphibians
0.484375 320 Amphibians
0.478125 320 Amphibians
0.410606060606061 660 Amphibians
0.439105772439106 2997 Bird
0.419565217391304 1840 Bird
0.397058823529412 2720 Bird
0.407758620689655 2320 Bird
0.41304347826087 1840 Bird
0.408552631578947 1520 Bird
0.395220588235294 2720 Bird
0.404605263157895 1520 Bird
0.381849315068493 1752 Bird
0.399035886448848 1867 Bird
0.403579871664978 2961 Bird
0.406875 1600 Bird
0.406644998194294 2769 Bird
0.400130123617437 1537 Bird
0.400625 1600 Bird
0.436258278145695 1208 Fish
0.348122866894198 586 Fish
0.373214285714286 560 Fish
0.425 240 Fish
0.4149377593361 241 Fish
0.41875 320 Fish
0.459183673469388 294 Fish
0.386422976501305 383 Fish
0.380434782608696 644 Fish
0.426875 1600 Fish
0.42125 1600 Fish
0.479304139172166 8335 Fish
0.44537072123279 7917 Fish
0.444486547934824 7917 Fish
0.424724166567802 8429 Fish
0.459404761904762 8400 Fish
0.449278846153846 8320 Fish
0.6165 4000 Mammals
0.61949914903963 4113 Mammals
0.6165 4000 Mammals
0.602567329473949 3973 Mammals
0.631367924528302 4240 Mammals
0.630424528301887 4240 Mammals
0.626201923076923 4160 Mammals
0.614182692307692 4160 Mammals
0.581632653061224 3920 Mammals
0.6165 4000 Mammals
0.627535496957404 3944 Mammals
0.62877358490566 4240 Mammals
0.627830188679245 4240 Mammals
0.622261844116149 3926 Mammals
0.622261844116149 3926 Mammals
0.597914252607184 863 Shark
0.387379807692308 8320 Shark
0.385817307692308 8320 Shark
0.414359343161932 8345 Shark
0.38878212827288 8326 Shark
0.368870192307692 8320 Shark
0.394110576923077 8320 Shark
0.395192307692308 8320 Shark
0.388768638768639 8320 Shark
0.52125 800 Shark
0.506593406593407 910 Shark
0.535 800 Shark
0.398630795099688 8326 Shark
0.385520470644735 8329 Shark
0.553409090909091 880 Shark
0.38287037037037 2160 Reptiles
0.41304347826087 1840 Reptiles
0.384868421052632 1520 Reptiles
0.411949685534591 2226 Reptiles
0.411949685534591 2226 Reptiles
0.360326086956522 1840 Reptiles
0.356777493606138 2346 Reptiles
0.434059633027523 1744 Reptiles
0.363877822045153 1506 Reptiles
0.358695652173913 1840 Reptiles
0.368421052631579 1520 Reptiles
0.368421052631579 1520 Reptiles
0.366145833333333 1920 Reptiles
0.366145833333333 1920 Reptiles
0.415782187355791 2167 Reptiles
